team,count
Virtus.pro,3460
Liquid,3373
Cloud9,3265
mousesports,3229
G2,3142
Astralis,3025
NiP,3015
FaZe,3015
fnatic,3015
Tricked,3000
ALTERNATE aTTaX,2956
HellRaisers,2835
Envy,2817
Epsilon,2747
OpTic,2730
Renegades,2670
Complexity,2659
Luminosity,2653
Spirit,2611
NRG,2570
Natus Vincere,2560
AGO,2553
Heroic,2515
Chiefs,2443
SK,2430
TYLOO,2394
LDLC,2242
Kinguin,2193
HAVU,2157
Singularity,2128
Space Soldiers,2037
North,1995
AVANGAR,1985
Dignitas,1963
Gambit,1879
forZe,1865
BIG,1825
GODSENT,1820
Nemiga,1814
Sprout,1795
Grayhound,1770
Windigo,1769
pro100,1758
PRIDE,1755
CLG,1685
TeamOne,1618
Nexus,1604
Valiance,1563
ENCE,1563
FlipSid3,1550
AVANT,1520
SJ,1484
FURIA,1450
eUnited,1429
Rogue,1419
Movistar Riders,1417
Bpro,1414
5POWER,1414
Red Reserve,1392
ORDER,1390
ViCi,1365
Immortals,1364
Splyce,1364
Legacy,1343
PENTA,1341
EURONICS,1324
Ground Zero,1307
Fragsters,1300
Isurus,1300
eXtatus,1292
Tainted Minds,1269
MVP PK,1239
Mythic,1213
INTZ,1195
Athletico,1175
PACT,1160
Ghost,1156
Imperial,1152
W7M,1103
Vexed,1093
EPG,1070
Quantum Bellator Fire,1057
Swole Patrol,1035
Endpoint,1027
BOOT-d[S],1024
DreamEaters,1015
MIBR,1015
iGame.com,1010
Vega Squadron,995
Chaos,994
TheMongolz,990
KoN Norway,980
KoN Denmark,975
DETONA,944
Vitality,938
Signature,934
Bravado,920
x-kom,908
KoN Sweden,905
Copenhagen Flames,895
GoodJob,895
EHOME,895
Izako Boars,888
KoN Finland,880
Sharks,875
Winstrike,874
Flash,870
Outlaws,810
Winterfox,805
New4,793
Syman,780
Recca,765
Corvidae,765
GamerLegion,764
eSuba,763
Dark Sided,750
Misfits,730
3DMAX,723
GameAgents,714
fnatic Academy,705
Denial,704
Selfless,704
SYF,695
VG.CyberZen,689
North Academy,680
Unique,679
paiN,675
Tempo Storm,670
Binary Dragons,668
TSM,658
Furious,632
EnVyUs Academy,628
expert,625
Rise Nation,620
BOOT,610
subtLe,609
Beyond,608
Nordavind,599
k1ck,585
Heretics,578
FIVE,570
Yeah,565
MK,564
Lucid Dream,560
LGD,555
TRIDENT,544
Alpha Red,543
Playing Ducks,540
Paradox,534
Born Of Fire,534
Ambush,529
MVP Project,525
Squared,525
madlikewizards,522
Wild,520
Giants,515
Tengri,514
x6tence Galaxy,514
Gambit Youngsters,510
aAa,500
Japaleno,495
Immunity,494
AlienTech,489
Eclipse,480
E-frag.net,478
